3, 1, 620, 342, 84, 69, -1, -1, -1, -1
4, 1, 622, 350, 87, 72, -1, -1, -1, -1
4, 2, 704, 340, 105, 113, -1, -1, -1, -1
5, 2, 703, 344, 114, 103, -1, -1, -1, -1
5, 1, 623, 349, 89, 73, -1, -1, -1, -1
5, 3, 912, 319, 39, 114, -1, -1, -1, -1
6, 2, 704, 346, 114, 101, -1, -1, -1, -1
6, 1, 623, 349, 89, 73, -1, -1, -1, -1
6, 3, 916, 322, 36, 114, -1, -1, -1, -1
7, 2, 704, 346, 114, 101, -1, -1, -1, -1
7, 1, 624, 357, 90, 73, -1, -1, -1, -1
7, 3, 919, 329, 36, 115, -1, -1, -1, -1
8, 2, 705, 342, 115, 102, -1, -1, -1, -1
8, 3, 919, 329, 36, 115, -1, -1, -1, -1
8, 1, 625, 354, 91, 75, -1, -1, -1, -1
9, 2, 709, 354, 115, 102, -1, -1, -1, -1
9, 3, 922, 332, 37, 115, -1, -1, -1, -1
9, 1, 627, 359, 91, 77, -1, -1, -1, -1
10, 2, 710, 357, 117, 103, -1, -1, -1, -1
10, 1, 627, 360, 90, 77, -1, -1, -1, -1
10, 3, 924, 334, 37, 117, -1, -1, -1, -1
10, 4, 653, 329, 31, 29, -1, -1, -1, -1
11, 2, 713, 360, 115, 107, -1, -1, -1, -1
11, 1, 628, 362, 90, 78, -1, -1, -1, -1
11, 3, 926, 339, 37, 119, -1, -1, -1, -1
11, 4, 654, 332, 30, 27, -1, -1, -1, -1
12, 2, 713, 358, 119, 107, -1, -1, -1, -1
12, 1, 628, 361, 91, 78, -1, -1, -1, -1
12, 3, 926, 330, 41, 120, -1, -1, -1, -1
12, 4, 653, 328, 30, 27, -1, -1, -1, -1
12, 5, 448, 341, 21, 65, -1, -1, -1, -1
13, 2, 712, 360, 121, 109, -1, -1, -1, -1
13, 1, 628, 363, 91, 79, -1, -1, -1, -1
13, 3, 928, 332, 39, 120, -1, -1, -1, -1
13, 5, 449, 344, 19, 61, -1, -1, -1, -1
13, 4, 653, 328, 30, 27, -1, -1, -1, -1
13, 6, 981, 333, 30, 85, -1, -1, -1, -1
14, 2, 714, 355, 121, 113, -1, -1, -1, -1
14, 1, 628, 356, 90, 79, -1, -1, -1, -1
14, 3, 932, 329, 37, 121, -1, -1, -1, -1
14, 6, 983, 330, 31, 89, -1, -1, -1, -1
14, 5, 448, 334, 21, 65, -1, -1, -1, -1
14, 4, 651, 316, 37, 37, -1, -1, -1, -1
15, 2, 714, 356, 123, 114, -1, -1, -1, -1
15, 1, 627, 358, 91, 78, -1, -1, -1, -1
15, 3, 932, 326, 39, 121, -1, -1, -1, -1
15, 6, 983, 328, 31, 89, -1, -1, -1, -1
15, 5, 440, 338, 37, 63, -1, -1, -1, -1
15, 4, 650, 317, 39, 37, -1, -1, -1, -1
16, 2, 714, 354, 125, 117, -1, -1, -1, -1
16, 1, 627, 358, 91, 78, -1, -1, -1, -1
16, 3, 934, 328, 39, 121, -1, -1, -1, -1
16, 6, 983, 328, 31, 89, -1, -1, -1, -1
16, 5, 440, 337, 37, 65, -1, -1, -1, -1
16, 4, 652, 316, 39, 37, -1, -1, -1, -1
17, 2, 715, 354, 126, 119, -1, -1, -1, -1
17, 1, 627, 358, 91, 79, -1, -1, -1, -1
17, 3, 936, 329, 39, 121, -1, -1, -1, -1
17, 6, 981, 330, 37, 87, -1, -1, -1, -1
17, 5, 440, 338, 37, 65, -1, -1, -1, -1
17, 4, 653, 317, 41, 37, -1, -1, -1, -1
17, 7, 721, 321, 30, 24, -1, -1, -1, -1
18, 2, 715, 354, 127, 120, -1, -1, -1, -1
18, 1, 627, 359, 91, 79, -1, -1, -1, -1
18, 3, 938, 328, 39, 121, -1, -1, -1, -1
18, 6, 980, 329, 39, 89, -1, -1, -1, -1
18, 5, 438, 341, 39, 65, -1, -1, -1, -1
18, 4, 652, 318, 42, 37, -1, -1, -1, -1
18, 7, 721, 321, 30, 24, -1, -1, -1, -1
19, 2, 714, 352, 129, 121, -1, -1, -1, -1
19, 1, 628, 358, 91, 81, -1, -1, -1, -1
19, 3, 939, 330, 41, 120, -1, -1, -1, -1
19, 6, 982, 329, 39, 90, -1, -1, -1, -1
19, 5, 438, 341, 39, 66, -1, -1, -1, -1
19, 4, 653, 318, 42, 37, -1, -1, -1, -1
19, 7, 722, 321, 30, 24, -1, -1, -1, -1
20, 2, 716, 352, 129, 121, -1, -1, -1, -1
20, 1, 628, 358, 90, 79, -1, -1, -1, -1
20, 3, 940, 330, 41, 121, -1, -1, -1, -1
20, 6, 983, 329, 41, 91, -1, -1, -1, -1
20, 5, 438, 341, 39, 66, -1, -1, -1, -1
20, 4, 654, 318, 42, 37, -1, -1, -1, -1
20, 7, 722, 321, 30, 24, -1, -1, -1, -1
